Step (steps),Load (N),Stage
0,0.09297640760869563,0
1,0.09297640760869563,0
2,0.09297640760869563,0
4,0.10072444157608694,0
5,0.11622050951086954,0
6,0.11622050951086954,0
8,0.09297640760869563,0
9,0.061984271739130424,0
11,0.07748033967391303,0
12,0.06973230570652172,0
13,0.06973230570652172,0
15,0.06973230570652172,0
16,0.07748033967391303,0
18,0.10072444157608694,0
19,0.10847247554347825,0
20,0.10847247554347825,0
22,0.09297640760869563,0
23,0.08522837364130434,0
25,0.09297640760869563,0
26,0.07748033967391303,0
27,0.07748033967391303,0
29,0.07748033967391303,0
30,0.08522837364130434,0
32,0.06973230570652172,0
33,0.08522837364130434,0
34,0.08522837364130434,0
36,0.08522837364130434,0
37,0.12396854347826085,0
39,0.11622050951086954,0
40,0.12396854347826085,0
41,0.08522837364130434,0
43,0.08522837364130434,0
44,0.08522837364130434,0
46,0.061984271739130424,0
47,0.061984271739130424,0
48,0.07748033967391303,0
50,0.07748033967391303,0
51,0.07748033967391303,0
53,0.07748033967391303,0
54,0.061984271739130424,0
56,0.030992135869565212,0
57,0.038740169836956516,0
58,0.015496067934782606,0
60,-0.007748033967391303,0
61,-0.030992135869565212,0
63,-0.038740169836956516,0
64,-0.054236237771739124,0
65,-0.054236237771739124,0
67,-0.06973230570652172,0
68,-0.06973230570652172,0
70,-0.07748033967391303,0
71,-0.07748033967391303,0
72,-0.07748033967391303,0
74,-0.07748033967391303,0
75,-0.06973230570652172,0
77,-0.054236237771739124,0
78,-0.038740169836956516,0
79,-0.054236237771739124,0
81,-0.046488203804347816,0
82,-0.046488203804347816,0
84,-0.054236237771739124,0
85,-0.046488203804347816,0
86,-0.061984271739130424,0
88,-0.07748033967391303,0
89,-0.06973230570652172,0
91,-0.061984271739130424,0
92,-0.09297640760869563,0
93,-0.09297640760869563,0
95,-0.09297640760869563,0
96,-0.10072444157608694,0
98,-0.061984271739130424,0
99,-0.10072444157608694,0
101,-0.10847247554347825,0
102,-0.10072444157608694,0
103,-0.09297640760869563,0
105,-0.13946461141304345,0
106,-0.14721264538043477,0
108,-0.13171657744565216,0
109,-0.14721264538043477,0
110,-0.13171657744565216,0
112,-0.10847247554347825,0
113,-0.10072444157608694,0
115,-0.09297640760869563,0
116,-0.07748033967391303,0
117,-0.046488203804347816,0
119,-0.038740169836956516,0
120,-0.054236237771739124,0
122,-0.054236237771739124,0
123,-0.08522837364130434,0
124,-0.10847247554347825,0
126,-0.10072444157608694,0
127,-0.08522837364130434,0
129,-0.08522837364130434,0
130,-0.08522837364130434,0
131,-0.07748033967391303,0
133,-0.054236237771739124,0
134,-0.054236237771739124,0
136,-0.054236237771739124,0
137,-0.038740169836956516,0
138,-0.030992135869565212,0
140,-0.038740169836956516,0
141,-0.046488203804347816,0
143,-0.054236237771739124,0
144,-0.10072444157608694,0
145,-0.12396854347826085,0
147,-0.11622050951086954,0
148,-0.13171657744565216,0
150,-0.14721264538043477,0
151,-0.14721264538043477,0
153,-0.12396854347826085,0
154,-0.08522837364130434,0
155,-0.08522837364130434,0
157,-0.061984271739130424,0
158,-0.054236237771739124,0
160,-0.07748033967391303,0
161,-0.10847247554347825,0
162,-0.09297640760869563,0
164,-0.054236237771739124,0
165,-0.030992135869565212,0
167,-0.030992135869565212,0
168,0.0,0
169,0.015496067934782606,0
171,0.038740169836956516,0
172,0.061984271739130424,0
174,0.08522837364130434,0
175,0.10847247554347825,0
176,0.11622050951086954,0
178,0.16270871331521736,0
179,0.17045674728260868,0
181,0.16270871331521736,0
182,0.17820478124999997,0
183,0.17820478124999997,0
185,0.1937008491847826,0
186,0.17045674728260868,0
188,0.17045674728260868,0
189,0.17820478124999997,0
190,0.20144888315217388,0
192,0.20919691711956517,0
193,0.2169449510869565,0
195,0.23244101902173908,0
196,0.2479370869565217,0
198,0.2866772567934782,0
199,0.3021733247282608,0
200,0.31766939266304345,0
202,0.2789292228260869,0
203,0.2866772567934782,0
205,0.3254174266304347,0
206,0.42614186820652167,0
207,0.36415759646739126,0
209,0.3486615285326086,0
210,0.39514973233695644,0
212,0.3099213586956521,0
213,0.433889902173913,0
214,0.44163793614130425,0
216,0.6120946834239129,0
217,0.5656064796195651,0
219,0.48812613994565207,0
220,0.42614186820652167,0
221,0.4958741739130434,0
223,0.5501104116847825,0
224,0.5423623777173913,0
226,0.6198427173913043,0
227,0.6508348532608694,0
228,0.5656064796195651,0
230,0.4958741739130434,0
231,0.511370241847826,0
233,0.5888505815217391,0
234,0.6508348532608694,0
235,0.6663309211956521,0
237,0.7128191249999999,0
238,0.7748033967391303,0
240,0.8057955326086955,0
241,0.7902994646739129,0
242,0.7902994646739129,0
244,0.767055362771739,0
245,0.7438112608695651,0
247,0.6740789551630434,0
248,0.6353387853260869,0
249,0.6585828872282607,0
251,0.6818269891304347,0
252,0.6740789551630434,0
254,0.6043466494565216,0
255,0.6043466494565216,0
257,0.6043466494565216,0
258,0.6275907513586956,0
259,0.5811025475543478,0
261,0.5965986154891303,0
262,0.5423623777173913,0
264,0.5501104116847825,0
265,0.5346143437499999,0
266,0.5656064796195651,0
268,0.5656064796195651,0
269,0.5656064796195651,0
271,0.5423623777173913,0
272,0.5733545135869564,0
273,0.5733545135869564,0
275,0.6120946834239129,0
276,0.6198427173913043,0
278,0.6818269891304347,0
279,0.6818269891304347,0
280,0.6740789551630434,0
282,0.6508348532608694,0
283,0.6740789551630434,0
285,0.6818269891304347,0
286,0.6430868192934781,0
287,0.6120946834239129,0
289,0.5888505815217391,0
290,0.5578584456521738,0
292,0.511370241847826,0
293,0.48812613994565207,0
294,0.44163793614130425,0
296,0.4106458002717391,0
297,0.3874016983695652,0
299,0.37190563043478253,0
300,0.3099213586956521,0
301,0.2634331548913043,0
303,0.2401890529891304,0
304,0.2246929850543478,0
306,0.1937008491847826,0
307,0.1937008491847826,0
309,0.17820478124999997,0
310,0.20919691711956517,0
311,0.1937008491847826,0
313,0.2246929850543478,0
314,0.23244101902173908,0
316,0.2479370869565217,0
317,0.2866772567934782,0
318,0.3021733247282608,0
320,0.3021733247282608,0
321,0.29442529076086954,0
323,0.3021733247282608,0
324,0.29442529076086954,0
325,0.2634331548913043,0
327,0.27118118885869563,0
328,0.2479370869565217,0
330,0.23244101902173908,0
331,0.1937008491847826,0
332,0.1937008491847826,0
334,0.1937008491847826,0
335,0.17045674728260868,0
337,0.13946461141304345,0
338,0.14721264538043477,0
339,0.10072444157608694,0
341,0.061984271739130424,0
342,0.023244101902173908,0
344,0.023244101902173908,0
345,0.023244101902173908,0
346,0.030992135869565212,0
348,0.030992135869565212,0
349,0.061984271739130424,0
351,0.061984271739130424,0
352,0.10072444157608694,0
354,0.15496067934782606,0
355,0.17045674728260868,0
356,0.17820478124999997,0
358,0.2246929850543478,0
359,0.2479370869565217,0
361,0.27118118885869563,0
362,0.2634331548913043,0
363,0.2789292228260869,0
365,0.3099213586956521,0
366,0.2866772567934782,0
368,0.2634331548913043,0
369,0.255685120923913,0
370,0.2479370869565217,0
372,0.2479370869565217,0
373,0.2789292228260869,0
375,0.31766939266304345,0
376,0.3486615285326086,0
377,0.40289776630434776,0
379,0.46488203804347816,0
380,0.4571340040760869,0
382,0.4803781059782608,0
383,0.5346143437499999,0
384,0.5578584456521738,0
386,0.6120946834239129,0
387,0.6430868192934781,0
389,0.7128191249999999,0
390,0.7593073288043477,0
391,0.8290396345108695,0
393,0.867779804347826,0
394,0.9220160421195651,0
396,0.9762522798913041,0
397,1.0614806535326085,0
398,1.1079688573369564,0
400,1.154457061141304,0
401,1.1931972309782606,0
403,1.2241893668478259,0
404,1.200945264945652,0
406,1.1777011630434782,0
407,1.1854491970108694,0
408,1.2164413328804347,0
410,1.2629295366847824,0
411,1.2939216725543476,0
413,1.355905944293478,0
414,1.3946461141304345,0
415,1.4411343179347824,0
417,1.479874487771739,0
418,1.534110725543478,0
420,1.5496067934782607,0
421,1.5418587595108693,0
422,1.557354827445652,0
424,1.5728508953804345,0
425,1.5651028614130433,0
427,1.5728508953804345,0
428,1.6038430312499998,0
429,1.6658273029891302,0
431,1.7200635407608693,0
432,1.766551744565217,0
434,1.766551744565217,0
435,1.7975438804347823,0
436,1.867276186141304,0
438,1.9215124239130432,0
439,1.9602525937499997,0
441,1.9989927635869562,0
442,2.037732933423913,0
443,2.0532290013586953,0
445,2.0532290013586953,0
