Step (steps),Load (N),Stage
0,0.10072444157608694,0
0,0.10072444157608694,0
1,0.06973230570652172,0
3,-0.08522837364130434,0
4,-0.13946461141304345,0
5,0.015496067934782606,0
7,0.33316546059782604,0
8,0.6818269891304347,0
10,0.8367876684782607,0
11,0.9297640760869563,0
12,1.0614806535326085,0
14,1.022740483695652,0
15,0.8910239062499998,0
17,1.0692286874999999,0
18,1.1777011630434782,0
19,0.8290396345108695,0
21,0.8755278383152173,0
22,1.1854491970108694,0
24,1.045984585597826,0
25,0.767055362771739,0
26,0.6973230570652172,0
28,0.9607562119565216,0
29,0.9994963817934781,0
31,0.6043466494565216,0
32,0.6198427173913043,0
33,0.8135435665760868,0
35,0.7128191249999999,0
36,0.6043466494565216,0
38,0.6585828872282607,0
39,0.5578584456521738,0
40,0.42614186820652167,0
42,0.2866772567934782,0
43,0.18595281521739127,0
45,0.44163793614130425,0
46,0.5811025475543478,0
47,0.2866772567934782,0
49,0.20144888315217388,0
50,0.41839383423913035,0
52,0.5423623777173913,0
53,0.5191182758152173,0
54,0.35640956249999994,0
56,0.36415759646739126,0
57,0.5501104116847825,0
59,0.46488203804347816,0
60,0.511370241847826,0
62,0.7902994646739129,0
63,0.6275907513586956,0
64,0.6043466494565216,0
66,0.6275907513586956,0
67,0.6585828872282607,0
69,0.767055362771739,0
70,0.7902994646739129,0
71,0.6740789551630434,0
73,0.6663309211956521,0
74,0.6353387853260869,0
76,0.6430868192934781,0
77,0.7825514307065217,0
78,0.7748033967391303,0
80,0.6430868192934781,0
81,0.4803781059782608,0
83,0.41839383423913035,0
84,0.4958741739130434,0
85,0.5811025475543478,0
87,0.40289776630434776,0
88,0.3874016983695652,0
90,0.37190563043478253,0
91,0.36415759646739126,0
92,0.37965366440217385,0
94,0.46488203804347816,0
95,0.3486615285326086,0
97,0.3486615285326086,0
98,0.3099213586956521,0
99,0.29442529076086954,0
101,0.5191182758152173,0
102,0.5811025475543478,0
104,0.39514973233695644,0
105,0.34091349456521736,0
106,0.35640956249999994,0
108,0.4958741739130434,0
109,0.5811025475543478,0
111,0.44163793614130425,0
112,0.2866772567934782,0
114,0.3021733247282608,0
115,0.2634331548913043,0
116,0.36415759646739126,0
118,0.46488203804347816,0
119,0.31766939266304345,0
121,0.34091349456521736,0
122,0.37965366440217385,0
123,0.41839383423913035,0
125,0.6198427173913043,0
126,0.5656064796195651,0
128,0.36415759646739126,0
129,0.3254174266304347,0
130,0.37190563043478253,0
132,0.4958741739130434,0
133,0.5423623777173913,0
135,0.433889902173913,0
136,0.31766939266304345,0
137,0.33316546059782604,0
139,0.37190563043478253,0
140,0.3874016983695652,0
142,0.4726300720108695,0
143,0.36415759646739126,0
144,0.42614186820652167,0
146,0.36415759646739126,0
147,0.3486615285326086,0
149,0.42614186820652167,0
150,0.4571340040760869,0
151,0.33316546059782604,0
153,0.3254174266304347,0
154,0.29442529076086954,0
156,0.3254174266304347,0
157,0.4726300720108695,0
158,0.41839383423913035,0
160,0.2866772567934782,0
161,0.2789292228260869,0
163,0.3486615285326086,0
164,0.42614186820652167,0
166,0.5423623777173913,0
167,0.5501104116847825,0
168,0.42614186820652167,0
170,0.433889902173913,0
171,0.39514973233695644,0
173,0.48812613994565207,0
174,0.5578584456521738,0
175,0.41839383423913035,0
177,0.42614186820652167,0
178,0.5501104116847825,0
180,0.5578584456521738,0
181,0.6353387853260869,0
182,0.5888505815217391,0
184,0.4803781059782608,0
185,0.4571340040760869,0
187,0.433889902173913,0
188,0.5036222078804347,0
189,0.6585828872282607,0
191,0.4803781059782608,0
192,0.3874016983695652,0
194,0.34091349456521736,0
195,0.40289776630434776,0
196,0.5268663097826086,0
