Step (steps),Load (N),Stage
0,0.030856393880307795,0
0,0.030856393880307795,0
1,0.04114185850707706,0
3,0.010285464626769264,0
4,0.030856393880307795,0
5,0.10285464626769264,0
7,0.29827847417630865,0
8,0.4319895143243091,0
10,0.503987766711694,0
11,0.4319895143243091,0
13,0.4937023020849247,0
14,0.5142732313384633,0
15,0.4731313728313862,0
17,0.4319895143243091,0
18,0.5348441605920018,0
20,0.7302679885006178,0
21,0.5245586959652325,0
22,0.42170404969753983,0
24,0.42170404969753983,0
25,0.33942033268338573,0
27,0.6274133422329251,0
28,0.6068424129793866,0
29,0.3188494034298472,0
31,0.3908476558172321,0
32,0.29827847417630865,0
34,0.2571366156692316,0
35,0.3908476558172321,0
36,0.21599475716215455,0
38,0.2674220802960009,0
39,0.37027672656369354,0
41,0.06171278776061559,0
42,0.13371104014800045,0
43,0.22628022178892382,0
45,0.11314011089446191,0
46,0.2571366156692316,0
48,0.19542382790861604,0
49,-0.02057092925353853,0
51,0.18513836328184677,0
52,0.18513836328184677,0
53,0.11314011089446191,0
55,0.24685115104246236,0
56,0.19542382790861604,0
58,0.1748528986550775,0
59,0.37027672656369354,0
60,0.20570929253538528,0
62,0.19542382790861604,0
63,0.4011331204440013,0
65,0.32913486805661646,0
66,0.32913486805661646,0
67,0.41141858507077056,0
69,0.1748528986550775,0
70,0.22628022178892382,0
72,0.349705797310155,0
73,0.12342557552123118,0
74,0.27770754492277017,0
76,0.3188494034298472,0
77,0.13371104014800045,0
79,0.2365656864156931,0
80,0.10285464626769264,0
82,-0.02057092925353853,0
83,0.24685115104246236,0
84,0.11314011089446191,0
86,0.02057092925353853,0
87,0.15428196940153896,0
89,-0.04114185850707706,0
90,0.05142732313384632,0
91,0.19542382790861604,0
93,-0.030856393880307795,0
94,0.08228371701415411,0
96,0.16456743402830823,0
97,-0.010285464626769264,0
98,0.1439965047747697,0
100,0.16456743402830823,0
101,0.07199825238738485,0
103,0.2571366156692316,0
104,0.18513836328184677,0
105,0.07199825238738485,0
107,0.27770754492277017,0
108,0.21599475716215455,0
110,0.15428196940153896,0
111,0.3188494034298472,0
112,0.15428196940153896,0
114,0.1748528986550775,0
115,0.4011331204440013,0
117,0.19542382790861604,0
118,0.19542382790861604,0
120,0.2571366156692316,0
121,0.09256918164092338,0
122,0.2365656864156931,0
124,0.22628022178892382,0
125,0.030856393880307795,0
127,0.1748528986550775,0
128,0.08228371701415411,0
129,-0.02057092925353853,0
131,0.12342557552123118,0
132,0.010285464626769264,0
134,0.04114185850707706,0
135,0.12342557552123118,0
136,-0.010285464626769264,0
138,0.030856393880307795,0
139,0.19542382790861604,0
141,0.08228371701415411,0
142,0.1439965047747697,0
143,0.20570929253538528,0
145,0.11314011089446191,0
146,0.2365656864156931,0
148,0.2674220802960009,0
149,0.15428196940153896,0
150,0.2571366156692316,0
152,0.2674220802960009,0
153,0.1748528986550775,0
155,0.33942033268338573,0
156,0.2674220802960009,0
158,0.19542382790861604,0
159,0.33942033268338573,0
160,0.21599475716215455,0
162,0.16456743402830823,0
163,0.29827847417630865,0
165,0.15428196940153896,0
166,0.1748528986550775,0
167,0.2674220802960009,0
169,0.09256918164092338,0
170,0.12342557552123118,0
172,0.20570929253538528,0
173,0.030856393880307795,0
174,0.10285464626769264,0
176,0.1439965047747697,0
177,-0.010285464626769264,0
179,0.1748528986550775,0
180,0.13371104014800045,0
181,0.0,0
183,0.19542382790861604,0
184,0.1439965047747697,0
186,0.07199825238738485,0
187,0.2674220802960009,0
188,0.16456743402830823,0
190,0.16456743402830823,0
191,0.349705797310155,0
193,0.1439965047747697,0
194,0.20570929253538528,0
196,0.35999126193692427,0
197,0.1748528986550775,0
198,0.24685115104246236,0
200,0.3085639388030779,0
201,0.09256918164092338,0
203,0.3085639388030779,0
204,0.33942033268338573,0
205,0.1439965047747697,0
207,0.29827847417630865,0
208,0.24685115104246236,0
210,0.1439965047747697,0
211,0.3908476558172321,0
212,0.24685115104246236,0
214,0.1748528986550775,0
215,0.349705797310155,0
217,0.16456743402830823,0
218,0.1748528986550775,0
219,0.349705797310155,0
221,0.13371104014800045,0
222,0.20570929253538528,0
224,0.3188494034298472,0
225,0.07199825238738485,0
227,0.24685115104246236,0
228,0.3188494034298472,0
229,0.11314011089446191,0
231,0.29827847417630865,0
232,0.24685115104246236,0
234,0.08228371701415411,0
235,0.37027672656369354,0
236,0.2674220802960009,0
238,0.18513836328184677,0
239,0.35999126193692427,0
241,0.16456743402830823,0
242,0.15428196940153896,0
243,0.4319895143243091,0
245,0.2365656864156931,0
246,0.2365656864156931,0
248,0.4011331204440013,0
249,0.16456743402830823,0
250,0.2879930095495394,0
252,0.4319895143243091,0
253,0.16456743402830823,0
255,0.27770754492277017,0
256,0.349705797310155,0
257,0.09256918164092338,0
259,0.3085639388030779,0
260,0.2879930095495394,0
262,0.07199825238738485,0
263,0.3188494034298472,0
265,0.2571366156692316,0
266,0.06171278776061559,0
267,0.3188494034298472,0
269,0.16456743402830823,0
270,0.07199825238738485,0
272,0.33942033268338573,0
273,0.12342557552123118,0
274,0.12342557552123118,0
276,0.37027672656369354,0
277,0.18513836328184677,0
279,0.22628022178892382,0
280,0.35999126193692427,0
281,0.1439965047747697,0
283,0.27770754492277017,0
284,0.37027672656369354,0
286,0.1748528986550775,0
287,0.2674220802960009,0
288,0.27770754492277017,0
290,0.16456743402830823,0
291,0.3188494034298472,0
293,0.2571366156692316,0
294,0.21599475716215455,0
295,0.2879930095495394,0
297,0.19542382790861604,0
298,0.24685115104246236,0
300,0.2674220802960009,0
301,0.13371104014800045,0
303,0.18513836328184677,0
304,0.21599475716215455,0
305,0.09256918164092338,0
307,0.19542382790861604,0
308,0.19542382790861604,0
310,0.06171278776061559,0
311,0.21599475716215455,0
312,0.13371104014800045,0
314,0.06171278776061559,0
315,0.2674220802960009,0
317,0.13371104014800045,0
318,0.13371104014800045,0
319,0.27770754492277017,0
321,0.06171278776061559,0
322,0.15428196940153896,0
324,0.2879930095495394,0
325,0.11314011089446191,0
326,0.1748528986550775,0
328,0.24685115104246236,0
329,0.11314011089446191,0
331,0.20570929253538528,0
332,0.24685115104246236,0
333,0.18513836328184677,0
335,0.22628022178892382,0
336,0.19542382790861604,0
338,0.1748528986550775,0
339,0.2365656864156931,0
341,0.18513836328184677,0
342,0.1439965047747697,0
343,0.15428196940153896,0
345,0.10285464626769264,0
346,0.10285464626769264,0
348,0.1748528986550775,0
349,0.09256918164092338,0
350,0.12342557552123118,0
352,0.15428196940153896,0
353,0.06171278776061559,0
355,0.16456743402830823,0
356,0.11314011089446191,0
357,0.05142732313384632,0
359,0.1748528986550775,0
360,0.06171278776061559,0
362,0.09256918164092338,0
363,0.1748528986550775,0
364,0.09256918164092338,0
366,0.11314011089446191,0
367,0.16456743402830823,0
369,0.10285464626769264,0
370,0.16456743402830823,0
371,0.2365656864156931,0
373,0.16456743402830823,0
374,0.20570929253538528,0
376,0.21599475716215455,0
377,0.12342557552123118,0
379,0.2365656864156931,0
380,0.22628022178892382,0
381,0.13371104014800045,0
383,0.22628022178892382,0
384,0.1748528986550775,0
386,0.12342557552123118,0
387,0.2571366156692316,0
388,0.1748528986550775,0
390,0.13371104014800045,0
391,0.2674220802960009,0
393,0.1748528986550775,0
394,0.1748528986550775,0
395,0.3085639388030779,0
397,0.20570929253538528,0
398,0.24685115104246236,0
400,0.3085639388030779,0
401,0.15428196940153896,0
402,0.2879930095495394,0
404,0.349705797310155,0
