Step (steps),Load (N),Stage
0,0.04114185850707706,0
0,0.04114185850707706,0
1,0.02057092925353853,0
3,-0.030856393880307795,0
4,-0.010285464626769264,0
6,0.13371104014800045,0
7,0.35999126193692427,0
8,0.4628459082046169,0
10,0.5657005544723095,0
11,0.6376988068596944,0
13,0.7611243823809256,0
14,0.9462627456627724,0
15,0.9154063517824645,0
17,1.007975533423388,0
18,1.0388319273036957,0
20,0.8639790286486182,0
21,0.9051208871556953,0
22,0.9976900687966187,0
24,1.0182609980501571,0
25,1.1211156443178498,0
27,1.0388319273036957,0
28,0.8228371701415411,0
29,0.894835422528926,0
31,0.9668336749163109,0
32,0.9771191395430802,0
34,0.9256918164092338,0
35,0.6479842714864636,0
37,0.5965569483526173,0
38,0.8125517055147718,0
39,0.8639790286486182,0
41,0.8331226347683104,0
42,0.7096970592470793,0
44,0.5348441605920018,0
45,0.5965569483526173,0
46,0.7096970592470793,0
48,0.6171278776061558,0
49,0.6274133422329251,0
51,0.5759860190990788,0
52,0.5657005544723095,0
53,0.7405534531273871,0
55,0.7508389177541563,0
56,0.69941159462031,0
58,0.7714098470076949,0
59,0.7302679885006178,0
60,0.6479842714864636,0
62,0.7302679885006178,0
63,0.7611243823809256,0
65,0.8742644932753875,0
66,0.9051208871556953,0
67,0.7611243823809256,0
69,0.7508389177541563,0
70,0.8125517055147718,0
72,0.8331226347683104,0
73,0.894835422528926,0
75,0.8536935640218489,0
76,0.7096970592470793,0
77,0.8125517055147718,0
79,0.9051208871556953,0
80,0.8639790286486182,0
82,0.8639790286486182,0
83,0.7302679885006178,0
84,0.6788406653667715,0
86,0.8022662408880026,0
87,0.8125517055147718,0
89,0.7508389177541563,0
90,0.7405534531273871,0
91,0.6274133422329251,0
93,0.6479842714864636,0
94,0.7508389177541563,0
96,0.6788406653667715,0
97,0.7199825238738485,0
98,0.7405534531273871,0
100,0.6685552007400022,0
101,0.7611243823809256,0
103,0.8434080993950797,0
104,0.8022662408880026,0
105,0.8845499579021567,0
107,0.8022662408880026,0
108,0.6788406653667715,0
110,0.8125517055147718,0
111,0.8639790286486182,0
113,0.9359772810360031,0
114,0.9051208871556953,0
115,0.6788406653667715,0
117,0.6171278776061558,0
118,0.8125517055147718,0
120,0.8331226347683104,0
121,0.8639790286486182,0
122,0.7714098470076949,0
124,0.6274133422329251,0
125,0.7816953116344642,0
127,0.9051208871556953,0
128,0.8228371701415411,0
129,0.8022662408880026,0
131,0.7096970592470793,0
132,0.6685552007400022,0
134,0.8125517055147718,0
135,0.7714098470076949,0
136,0.7096970592470793,0
138,0.7611243823809256,0
139,0.6479842714864636,0
141,0.6376988068596944,0
142,0.7508389177541563,0
144,0.7199825238738485,0
145,0.8228371701415411,0
146,0.8434080993950797,0
148,0.69941159462031,0
149,0.7611243823809256,0
151,0.8331226347683104,0
152,0.894835422528926,0
153,0.9668336749163109,0
155,0.8742644932753875,0
156,0.7405534531273871,0
158,0.9051208871556953,0
159,0.9462627456627724,0
160,0.9462627456627724,0
162,0.9154063517824645,0
163,0.7714098470076949,0
165,0.7611243823809256,0
166,0.9154063517824645,0
167,0.8845499579021567,0
169,0.9051208871556953,0
170,0.8742644932753875,0
172,0.7199825238738485,0
173,0.8125517055147718,0
174,0.8742644932753875,0
176,0.8228371701415411,0
177,0.8536935640218489,0
179,0.7714098470076949,0
180,0.6788406653667715,0
182,0.8125517055147718,0
183,0.8845499579021567,0
184,0.8536935640218489,0
186,0.8845499579021567,0
187,0.7816953116344642,0
189,0.7199825238738485,0
190,0.8536935640218489,0
191,0.8434080993950797,0
193,0.8639790286486182,0
194,0.8845499579021567,0
196,0.7096970592470793,0
197,0.7302679885006178,0
198,0.8742644932753875,0
200,0.8639790286486182,0
201,0.9462627456627724,0
203,0.8536935640218489,0
204,0.7199825238738485,0
205,0.8742644932753875,0
207,0.9771191395430802,0
208,0.9874046041698494,0
210,0.9771191395430802,0
211,0.8022662408880026,0
212,0.7405534531273871,0
214,0.894835422528926,0
215,0.8742644932753875,0
217,0.9051208871556953,0
218,0.8845499579021567,0
220,0.7405534531273871,0
221,0.7816953116344642,0
222,0.894835422528926,0
224,0.8845499579021567,0
225,0.9359772810360031,0
227,0.8742644932753875,0
228,0.7714098470076949,0
229,0.8742644932753875,0
231,0.9462627456627724,0
232,0.9565482102895416,0
234,1.0285464626769265,0
235,0.9051208871556953,0
236,0.8228371701415411,0
238,0.9668336749163109,0
239,0.9771191395430802,0
241,1.0182609980501571,0
242,1.0182609980501571,0
243,0.8845499579021567,0
245,0.9051208871556953,0
246,1.049117391930465,0
248,1.0799737858107727,0
249,1.131401108944619,0
250,1.0594028565572342,0
252,0.9154063517824645,0
253,1.0285464626769265,0
255,1.1211156443178498,0
256,1.1211156443178498,0
258,1.1005447150643113,0
259,0.9874046041698494,0
260,0.9256918164092338,0
262,1.0799737858107727,0
263,1.1005447150643113,0
265,1.1005447150643113,0
266,1.0594028565572342,0
267,0.9359772810360031,0
269,0.9359772810360031,0
270,1.0696883211840036,0
272,1.0388319273036957,0
273,1.1005447150643113,0
274,1.0696883211840036,0
276,0.9462627456627724,0
277,1.007975533423388,0
279,1.0594028565572342,0
280,1.0285464626769265,0
281,1.049117391930465,0
283,1.0388319273036957,0
284,0.9154063517824645,0
286,1.0388319273036957,0
287,1.0799737858107727,0
289,1.1005447150643113,0
290,1.0902592504375421,0
291,0.9462627456627724,0
293,0.9462627456627724,0
294,1.1005447150643113,0
296,1.0799737858107727,0
297,1.1416865735713884,0
298,1.0902592504375421,0
300,0.9256918164092338,0
301,1.007975533423388,0
303,1.162257502824927,0
304,1.1108301796910807,0
305,1.1108301796910807,0
307,1.007975533423388,0
308,0.9256918164092338,0
310,1.0696883211840036,0
311,1.0696883211840036,0
312,1.0594028565572342,0
314,1.0902592504375421,0
315,0.9668336749163109,0
317,0.9668336749163109,0
318,1.1211156443178498,0
319,1.0902592504375421,0
321,1.1211156443178498,0
322,1.1108301796910807,0
324,0.9565482102895416,0
325,1.0388319273036957,0
327,1.1108301796910807,0
328,1.0902592504375421,0
329,1.1108301796910807,0
331,0.9668336749163109,0
332,0.7919807762612333,0
334,0.9154063517824645,0
335,0.9771191395430802,0
336,1.0182609980501571,0
338,1.0388319273036957,0
339,0.8845499579021567,0
341,0.8434080993950797,0
342,0.9874046041698494,0
343,1.007975533423388,0
345,1.0696883211840036,0
346,1.0388319273036957,0
348,0.8845499579021567,0
349,0.9256918164092338,0
350,1.0285464626769265,0
352,0.9771191395430802,0
353,0.9771191395430802,0
355,0.8845499579021567,0
356,0.7508389177541563,0
357,0.8845499579021567,0
359,0.9462627456627724,0
360,0.9256918164092338,0
362,0.9154063517824645,0
363,0.8125517055147718,0
365,0.7611243823809256,0
366,0.894835422528926,0
367,0.8639790286486182,0
369,0.894835422528926,0
370,0.9256918164092338,0
372,0.7405534531273871,0
373,0.7611243823809256,0
374,0.8845499579021567,0
376,0.8536935640218489,0
377,0.894835422528926,0
379,0.8742644932753875,0
380,0.7096970592470793,0
381,0.8639790286486182,0
383,0.9359772810360031,0
384,0.8845499579021567,0
386,0.9256918164092338,0
387,0.7816953116344642,0
388,0.7199825238738485,0
390,0.9051208871556953,0
391,0.9256918164092338,0
393,0.9256918164092338,0
394,0.894835422528926,0
396,0.7508389177541563,0
397,0.7816953116344642,0
398,0.9462627456627724,0
400,0.8845499579021567,0
401,0.9256918164092338,0
403,0.8639790286486182,0
404,0.7405534531273871,0
405,0.8434080993950797,0
407,0.9051208871556953,0
408,0.8845499579021567,0
410,0.9668336749163109,0
411,0.8434080993950797,0
412,0.8125517055147718,0
414,0.9462627456627724,0
415,0.9462627456627724,0
417,0.9462627456627724,0
418,0.9462627456627724,0
419,0.7919807762612333,0
421,0.7816953116344642,0
422,0.9256918164092338,0
424,0.8845499579021567,0
425,0.9359772810360031,0
426,0.8845499579021567,0
428,0.7405534531273871,0
429,0.8434080993950797,0
431,0.8742644932753875,0
432,0.8331226347683104,0
434,0.9051208871556953,0
435,0.8125517055147718,0
436,0.7096970592470793,0
438,0.894835422528926,0
439,0.9051208871556953,0
441,0.9256918164092338,0
442,0.8742644932753875,0
443,0.7405534531273871,0
445,0.7816953116344642,0
446,0.9462627456627724,0
448,0.9359772810360031,0
449,0.9565482102895416,0
450,0.894835422528926,0
452,0.7714098470076949,0
453,0.8639790286486182,0
455,0.9462627456627724,0
456,0.894835422528926,0
457,0.9154063517824645,0
459,0.8845499579021567,0
460,0.7816953116344642,0
462,0.894835422528926,0
463,0.8845499579021567,0
464,0.8845499579021567,0
466,0.9359772810360031,0
467,0.8125517055147718,0
469,0.7816953116344642,0
470,0.9154063517824645,0
472,0.894835422528926,0
473,0.9154063517824645,0
474,0.894835422528926,0
476,0.7405534531273871,0
477,0.7714098470076949,0
479,0.894835422528926,0
480,0.8536935640218489,0
481,0.8845499579021567,0
483,0.8228371701415411,0
484,0.7096970592470793,0
486,0.8845499579021567,0
487,0.894835422528926,0
488,0.9051208871556953,0
490,0.894835422528926,0
491,0.7919807762612333,0
493,0.8022662408880026,0
494,1.007975533423388,0
495,0.9874046041698494,0
497,0.9874046041698494,0
498,0.9874046041698494,0
500,0.8434080993950797,0
501,0.9051208871556953,0
503,0.9976900687966187,0
504,0.9565482102895416,0
505,1.0182609980501571,0
507,0.9359772810360031,0
508,0.8228371701415411,0
510,0.9154063517824645,0
511,0.9359772810360031,0
512,0.9874046041698494,0
514,1.0285464626769265,0
515,0.9154063517824645,0
517,0.8536935640218489,0
518,0.9976900687966187,0
519,0.9874046041698494,0
521,1.0182609980501571,0
522,1.007975533423388,0
524,0.8639790286486182,0
525,0.9256918164092338,0
526,1.0182609980501571,0
528,0.9874046041698494,0
529,1.0182609980501571,0
531,0.9256918164092338,0
532,0.8125517055147718,0
533,0.9359772810360031,0
535,0.9874046041698494,0
536,0.9565482102895416,0
538,0.9874046041698494,0
539,0.8639790286486182,0
541,0.8228371701415411,0
542,0.9874046041698494,0
543,0.9874046041698494,0
545,1.007975533423388,0
546,1.007975533423388,0
548,0.894835422528926,0
549,0.9154063517824645,0
550,1.0182609980501571,0
552,1.0182609980501571,0
553,1.049117391930465,0
555,0.9874046041698494,0
556,0.8536935640218489,0
557,0.9771191395430802,0
559,1.0696883211840036,0
560,1.0696883211840036,0
562,1.049117391930465,0
563,0.9051208871556953,0
564,0.7919807762612333,0
566,0.9154063517824645,0
567,0.9462627456627724,0
569,0.9462627456627724,0
570,0.9668336749163109,0
571,0.8228371701415411,0
573,0.8845499579021567,0
574,1.0696883211840036,0
576,1.0182609980501571,0
577,1.0388319273036957,0
579,1.0285464626769265,0
580,0.9256918164092338,0
581,1.0696883211840036,0
583,1.1108301796910807,0
584,1.0388319273036957,0
586,1.0799737858107727,0
587,0.9565482102895416,0
588,0.8742644932753875,0
590,1.049117391930465,0
591,1.0182609980501571,0
593,1.049117391930465,0
594,1.0799737858107727,0
595,0.9256918164092338,0
597,0.9256918164092338,0
598,1.049117391930465,0
600,1.0182609980501571,0
601,1.049117391930465,0
602,0.9668336749163109,0
604,0.8125517055147718,0
605,0.9359772810360031,0
607,1.0285464626769265,0
608,1.0285464626769265,0
609,1.0594028565572342,0
611,0.9462627456627724,0
612,0.8536935640218489,0
614,1.0285464626769265,0
615,1.049117391930465,0
617,1.0696883211840036,0
618,1.0696883211840036,0
619,0.9256918164092338,0
621,0.9462627456627724,0
622,1.0696883211840036,0
624,1.0285464626769265,0
625,1.1005447150643113,0
626,1.0696883211840036,0
628,0.9154063517824645,0
629,0.9771191395430802,0
631,1.0799737858107727,0
632,1.131401108944619,0
633,1.1519720381981575,0
635,1.0182609980501571,0
636,0.9051208871556953,0
638,1.007975533423388,0
639,1.0285464626769265,0
640,1.0696883211840036,0
642,1.0594028565572342,0
643,0.9154063517824645,0
645,0.8845499579021567,0
646,1.007975533423388,0
648,0.9976900687966187,0
649,1.049117391930465,0
650,0.9874046041698494,0
652,0.8639790286486182,0
653,0.9462627456627724,0
655,1.0388319273036957,0
656,1.049117391930465,0
657,1.0388319273036957,0
659,0.9668336749163109,0
660,0.8639790286486182,0
662,1.007975533423388,0
663,1.0696883211840036,0
664,1.0902592504375421,0
666,1.0696883211840036,0
667,0.9668336749163109,0
669,0.9256918164092338,0
670,1.0594028565572342,0
671,1.0388319273036957,0
673,1.0696883211840036,0
674,1.0285464626769265,0
676,0.9256918164092338,0
677,0.9874046041698494,0
678,1.0902592504375421,0
