Step (steps),Load (N),Stage
0,0.02057092925353853,0
1,0.02057092925353853,0
2,0.02057092925353853,0
3,0.010285464626769264,0
5,0.0,0
6,0.13371104014800045,0
7,0.3188494034298472,0
9,0.44227497895107837,0
10,0.3805621911904628,0
12,0.3085639388030779,0
13,0.2879930095495394,0
15,0.37027672656369354,0
16,0.5245586959652325,0
17,0.6171278776061558,0
19,0.4937023020849247,0
20,0.41141858507077056,0
22,0.48341683745815545,0
23,0.42170404969753983,0
24,0.45256044357784764,0
26,0.45256044357784764,0
27,0.4319895143243091,0
29,0.42170404969753983,0
30,0.3085639388030779,0
31,0.2365656864156931,0
33,0.33942033268338573,0
34,0.349705797310155,0
36,0.3188494034298472,0
37,0.22628022178892382,0
38,0.09256918164092338,0
40,0.1439965047747697,0
41,0.2365656864156931,0
43,0.20570929253538528,0
44,0.20570929253538528,0
45,0.09256918164092338,0
47,0.05142732313384632,0
48,0.19542382790861604,0
50,0.22628022178892382,0
51,0.1748528986550775,0
53,0.21599475716215455,0
54,0.16456743402830823,0
55,0.16456743402830823,0
57,0.2879930095495394,0
58,0.27770754492277017,0
60,0.2879930095495394,0
61,0.3085639388030779,0
62,0.24685115104246236,0
64,0.2879930095495394,0
65,0.3908476558172321,0
67,0.3805621911904628,0
68,0.42170404969753983,0
69,0.35999126193692427,0
71,0.2674220802960009,0
72,0.32913486805661646,0
74,0.349705797310155,0
75,0.349705797310155,0
76,0.32913486805661646,0
78,0.2571366156692316,0
79,0.22628022178892382,0
81,0.33942033268338573,0
82,0.3085639388030779,0
84,0.33942033268338573,0
85,0.3085639388030779,0
86,0.20570929253538528,0
88,0.24685115104246236,0
89,0.35999126193692427,0
91,0.3188494034298472,0
92,0.33942033268338573,0
93,0.29827847417630865,0
95,0.2571366156692316,0
96,0.349705797310155,0
98,0.42170404969753983,0
99,0.41141858507077056,0
100,0.3805621911904628,0
102,0.29827847417630865,0
103,0.24685115104246236,0
105,0.37027672656369354,0
106,0.37027672656369354,0
107,0.35999126193692427,0
109,0.349705797310155,0
110,0.24685115104246236,0
112,0.2365656864156931,0
113,0.3188494034298472,0
114,0.2674220802960009,0
116,0.22628022178892382,0
117,0.19542382790861604,0
119,0.09256918164092338,0
120,0.15428196940153896,0
122,0.21599475716215455,0
123,0.19542382790861604,0
124,0.18513836328184677,0
126,0.1439965047747697,0
127,0.10285464626769264,0
129,0.2365656864156931,0
130,0.27770754492277017,0
131,0.19542382790861604,0
133,0.20570929253538528,0
134,0.1439965047747697,0
136,0.13371104014800045,0
137,0.2674220802960009,0
138,0.2365656864156931,0
140,0.2365656864156931,0
141,0.24685115104246236,0
143,0.1439965047747697,0
144,0.16456743402830823,0
145,0.2571366156692316,0
147,0.20570929253538528,0
148,0.21599475716215455,0
150,0.20570929253538528,0
