Step (steps),Load (N),Stage
0,0.04114185850707706,0
0,0.04114185850707706,0
1,0.05142732313384632,0
3,0.07199825238738485,0
4,0.04114185850707706,0
5,0.0,0
7,0.030856393880307795,0
8,0.04114185850707706,0
10,0.02057092925353853,0
11,0.030856393880307795,0
12,-0.09256918164092338,0
14,0.05142732313384632,0
15,1.049117391930465,0
17,2.015951066846776,0
18,2.5713661566923163,0
20,2.9622138125095483,0
21,3.0856393880307795,0
22,2.921071954002471,0
24,2.5919370859458546,0
25,1.9233818852058524,0
27,1.2959685429729273,0
28,0.5142732313384633,0
29,-0.19542382790861604,0
31,-0.6788406653667715,0
32,-1.3371104014800044,0
34,-2.262802217889238,0
35,-3.301634145192934,0
36,-4.47417711264463,0
38,-5.338156141293248,0
39,-5.636434615469557,0
41,-6.191849705315097,0
42,-6.325560745463098,0
43,-6.613553755012637,0
45,-6.664981078146483,0
46,-6.469557250237868,0
48,-6.171278776061559,0
49,-5.677576473976634,0
50,-5.235301495025555,0
52,-4.844453839208324,0
53,-4.6181736174194,0
55,-4.515318971151707,0
56,-4.4227497895107835,0
58,-4.330180607869861,0
59,-4.340466072496629,0
60,-4.350751537123399,0
62,-4.3610370017501685,0
63,-4.453606183391091,0
65,-4.494748041898169,0
66,-4.4227497895107835,0
67,-4.505033506524938,0
69,-4.525604435778476,0
70,-4.3918933956304755,0
72,-4.145042244588014,0
73,-3.980474810559705,0
74,-3.980474810559705,0
76,-4.011331204440014,0
77,-3.8776201642920127,0
79,-3.8673346996652436,0
80,-3.8776201642920127,0
81,-3.7953364472778586,0
83,-3.7130527302637044,0
84,-3.651339942503089,0
86,-3.620483548622781,0
87,-3.661625407129858,0
89,-3.6307690132495503,0
90,-3.661625407129858,0
91,-3.733623659517243,0
93,-3.7644800533975507,0
94,-3.846763770411705,0
96,-3.846763770411705,0
97,-3.815907376531397,0
98,-3.846763770411705,0
100,-3.959903881306167,0
101,-4.042187598320321,0
103,-4.19646956772186,0
104,-4.268467820109245,0
105,-4.299324213989553,0
107,-4.402178860257245,0
108,-4.463891648017861,0
110,-4.494748041898169,0
111,-4.505033506524938,0
112,-4.505033506524938,0
114,-4.494748041898169,0
115,-4.505033506524938,0
117,-4.546175365032015,0
118,-4.587317223539092,0
119,-4.494748041898169,0
121,-4.340466072496629,0
122,-4.278753284736014,0
124,-4.258182355482475,0
125,-4.186184103095091,0
127,-4.145042244588014,0
128,-4.093614921454167,0
129,-4.001045739813244,0
131,-3.898191093545551,0
132,-3.7953364472778586,0
134,-3.7027672656369353,0
135,-3.733623659517243,0
136,-3.661625407129858,0
138,-3.5176289023550886,0
139,-3.527914366981858,0
141,-3.6410544778763194,0
142,-3.6719108717566273,0
143,-3.6307690132495503,0
145,-3.579341690115704,0
146,-3.579341690115704,0
148,-3.6821963363833965,0
149,-3.7130527302637044,0
150,-3.7747655180243203,0
152,-3.7953364472778586,0
153,-3.7953364472778586,0
155,-3.8364783057849356,0
156,-3.91876202279909,0
158,-3.970189345932936,0
159,-4.021616669066782,0
160,-4.011331204440014,0
162,-3.980474810559705,0
163,-4.0730439922006285,0
165,-4.124471315334475,0
166,-4.145042244588014,0
167,-4.155327709214783,0
169,-4.103900386080936,0
170,-4.031902133693552,0
172,-4.05247306294709,0
173,-4.011331204440014,0
174,-3.980474810559705,0
176,-3.9496184166793977,0
177,-3.887905628918782,0
179,-3.857049235038474,0
180,-3.857049235038474,0
181,-3.8261928411581665,0
183,-3.846763770411705,0
184,-3.7953364472778586,0
186,-3.7130527302637044,0
187,-3.7233381948904736,0
188,-3.7130527302637044,0
190,-3.692481801010166,0
191,-3.7439091241440123,0
193,-3.7233381948904736,0
194,-3.7027672656369353,0
196,-3.7953364472778586,0
197,-3.815907376531397,0
198,-3.8261928411581665,0
200,-3.857049235038474,0
201,-3.815907376531397,0
203,-3.815907376531397,0
204,-3.887905628918782,0
205,-3.9084765581723206,0
207,-3.970189345932936,0
208,-3.980474810559705,0
210,-3.970189345932936,0
211,-4.021616669066782,0
212,-4.093614921454167,0
214,-4.145042244588014,0
215,-4.206755032348629,0
217,-4.186184103095091,0
218,-4.19646956772186,0
219,-4.278753284736014,0
221,-4.319895143243091,0
222,-4.3918933956304755,0
224,-4.443320718764323,0
225,-4.4227497895107835,0
226,-4.412464324884015,0
228,-4.463891648017861,0
229,-4.484462577271399,0
231,-4.5358899004052455,0
232,-4.525604435778476,0
234,-4.484462577271399,0
235,-4.494748041898169,0
236,-4.577031758912323,0
238,-4.6181736174194,0
239,-4.577031758912323,0
241,-4.546175365032015,0
242,-4.5358899004052455,0
243,-4.5667462942855535,0
245,-4.577031758912323,0
246,-4.597602688165861,0
248,-4.587317223539092,0
249,-4.515318971151707,0
250,-4.515318971151707,0
252,-4.587317223539092,0
253,-4.6181736174194,0
255,-4.60788815279263,0
256,-4.597602688165861,0
257,-4.577031758912323,0
259,-4.597602688165861,0
260,-4.669600940553246,0
262,-4.690171869806784,0
263,-4.700457334433554,0
265,-4.721028263687092,0
266,-4.7107427990603234,0
267,-4.782741051447708,0
269,-4.854739303835093,0
270,-4.957593950102785,0
272,-4.967879414729555,0
273,-4.967879414729555,0
274,-4.978164879356324,0
276,-5.081019525624017,0
277,-5.132446848757863,0
279,-5.17358870726494,0
280,-5.214730565772017,0
281,-5.2044451011452475,0
283,-5.214730565772017,0
284,-5.266157888905863,0
286,-5.307299747412941,0
287,-5.327870676666479,0
288,-5.286728818159402,0
290,-5.163303242638171,0
291,-5.214730565772017,0
293,-5.276443353532633,0
294,-5.245586959652325,0
295,-5.235301495025555,0
297,-5.183874171891709,0
298,-5.17358870726494,0
300,-5.225016030398787,0
301,-5.214730565772017,0
303,-5.214730565772017,0
304,-5.183874171891709,0
305,-5.111875919504325,0
307,-5.101590454877555,0
308,-5.122161384131093,0
310,-5.091304990250786,0
311,-5.111875919504325,0
312,-5.070734060997247,0
314,-4.988450343983093,0
315,-5.009021273236632,0
317,-4.9987358086098626,0
318,-4.978164879356324,0
319,-4.978164879356324,0
321,-4.906166626968939,0
322,-4.854739303835093,0
324,-4.906166626968939,0
325,-4.916452091595708,0
326,-4.947308485476016,0
328,-4.957593950102785,0
329,-4.89588116234217,0
331,-4.916452091595708,0
332,-4.967879414729555,0
333,-5.009021273236632,0
335,-5.0295922024901705,0
336,-5.019306737863401,0
338,-4.967879414729555,0
339,-5.009021273236632,0
341,-5.009021273236632,0
342,-5.009021273236632,0
343,-4.9987358086098626,0
345,-4.875310233088632,0
346,-4.875310233088632,0
348,-4.8855956977154005,0
349,-4.813597445328016,0
350,-4.803311980701246,0
352,-4.803311980701246,0
353,-4.669600940553246,0
355,-4.6181736174194,0
356,-4.628459082046169,0
357,-4.597602688165861,0
359,-4.587317223539092,0
360,-4.515318971151707,0
362,-4.433035254137553,0
363,-4.433035254137553,0
364,-4.443320718764323,0
366,-4.463891648017861,0
367,-4.443320718764323,0
369,-4.381607931003707,0
370,-4.309609678616321,0
372,-4.3610370017501685,0
373,-4.371322466376937,0
374,-4.381607931003707,0
376,-4.340466072496629,0
377,-4.299324213989553,0
379,-4.299324213989553,0
380,-4.3610370017501685,0
381,-4.3610370017501685,0
383,-4.371322466376937,0
384,-4.309609678616321,0
386,-4.258182355482475,0
387,-4.309609678616321,0
388,-4.340466072496629,0
390,-4.340466072496629,0
391,-4.319895143243091,0
393,-4.299324213989553,0
394,-4.186184103095091,0
395,-4.237611426228937,0
397,-4.237611426228937,0
398,-4.19646956772186,0
400,-4.165613173841552,0
401,-4.155327709214783,0
402,-4.114185850707706,0
404,-4.093614921454167,0
405,-4.103900386080936,0
407,-4.093614921454167,0
408,-4.031902133693552,0
410,-3.887905628918782,0
411,-3.929047487425859,0
412,-3.959903881306167,0
414,-3.929047487425859,0
415,-3.939332952052628,0
417,-3.959903881306167,0
418,-3.887905628918782,0
419,-3.91876202279909,0
421,-3.970189345932936,0
422,-3.959903881306167,0
424,-3.970189345932936,0
425,-3.939332952052628,0
426,-3.939332952052628,0
428,-4.031902133693552,0
429,-4.0730439922006285,0
431,-4.0730439922006285,0
432,-4.083329456827398,0
433,-4.05247306294709,0
435,-4.103900386080936,0
436,-4.134756779961244,0
438,-4.155327709214783,0
439,-4.227325961602168,0
440,-4.227325961602168,0
442,-4.155327709214783,0
443,-4.247896890855706,0
445,-4.268467820109245,0
446,-4.299324213989553,0
448,-4.309609678616321,0
449,-4.237611426228937,0
450,-4.206755032348629,0
452,-4.278753284736014,0
453,-4.289038749362783,0
455,-4.289038749362783,0
456,-4.309609678616321,0
457,-4.19646956772186,0
459,-4.175898638468321,0
460,-4.206755032348629,0
462,-4.247896890855706,0
463,-4.309609678616321,0
464,-4.227325961602168,0
466,-4.175898638468321,0
467,-4.247896890855706,0
469,-4.278753284736014,0
470,-4.309609678616321,0
471,-4.350751537123399,0
473,-4.309609678616321,0
474,-4.319895143243091,0
476,-4.381607931003707,0
477,-4.381607931003707,0
479,-4.443320718764323,0
480,-4.443320718764323,0
481,-4.3918933956304755,0
483,-4.3918933956304755,0
484,-4.453606183391091,0
486,-4.484462577271399,0
487,-4.505033506524938,0
488,-4.47417711264463,0
490,-4.443320718764323,0
491,-4.484462577271399,0
493,-4.484462577271399,0
494,-4.525604435778476,0
495,-4.505033506524938,0
497,-4.4227497895107835,0
498,-4.412464324884015,0
500,-4.412464324884015,0
501,-4.433035254137553,0
502,-4.433035254137553,0
504,-4.402178860257245,0
505,-4.309609678616321,0
507,-4.299324213989553,0
508,-4.330180607869861,0
509,-4.340466072496629,0
511,-4.3610370017501685,0
512,-4.330180607869861,0
514,-4.278753284736014,0
515,-4.319895143243091,0
517,-4.371322466376937,0
518,-4.3610370017501685,0
519,-4.350751537123399,0
521,-4.371322466376937,0
522,-4.309609678616321,0
524,-4.330180607869861,0
525,-4.340466072496629,0
526,-4.381607931003707,0
528,-4.340466072496629,0
529,-4.278753284736014,0
531,-4.227325961602168,0
532,-4.268467820109245,0
533,-4.258182355482475,0
535,-4.247896890855706,0
536,-4.2170404969753985,0
538,-4.134756779961244,0
539,-4.165613173841552,0
540,-4.19646956772186,0
542,-4.145042244588014,0
543,-4.165613173841552,0
545,-4.155327709214783,0
546,-4.083329456827398,0
548,-4.114185850707706,0
549,-4.114185850707706,0
550,-4.114185850707706,0
552,-4.103900386080936,0
553,-4.031902133693552,0
555,-4.031902133693552,0
556,-4.0730439922006285,0
557,-4.0730439922006285,0
559,-4.0730439922006285,0
560,-4.031902133693552,0
562,-3.980474810559705,0
563,-4.021616669066782,0
564,-4.021616669066782,0
566,-4.031902133693552,0
567,-4.0730439922006285,0
569,-4.031902133693552,0
570,-3.980474810559705,0
571,-4.05247306294709,0
573,-4.001045739813244,0
574,-4.031902133693552,0
576,-4.06275852757386,0
577,-3.959903881306167,0
578,-3.929047487425859,0
580,-3.980474810559705,0
581,-3.980474810559705,0
583,-3.980474810559705,0
584,-3.9496184166793977,0
586,-3.929047487425859,0
587,-3.939332952052628,0
588,-3.9496184166793977,0
590,-3.9496184166793977,0
591,-3.990760275186475,0
593,-3.959903881306167,0
594,-3.929047487425859,0
595,-4.021616669066782,0
597,-4.021616669066782,0
598,-4.083329456827398,0
600,-4.093614921454167,0
601,-4.05247306294709,0
602,-4.0730439922006285,0
604,-4.165613173841552,0
605,-4.175898638468321,0
607,-4.227325961602168,0
608,-4.206755032348629,0
609,-4.175898638468321,0
611,-4.227325961602168,0
612,-4.278753284736014,0
614,-4.340466072496629,0
615,-4.350751537123399,0
617,-4.350751537123399,0
618,-4.319895143243091,0
619,-4.371322466376937,0
621,-4.402178860257245,0
622,-4.443320718764323,0
624,-4.443320718764323,0
625,-4.3918933956304755,0
626,-4.402178860257245,0
628,-4.505033506524938,0
629,-4.5358899004052455,0
631,-4.5667462942855535,0
632,-4.556460829658784,0
633,-4.5358899004052455,0
635,-4.5358899004052455,0
636,-4.6181736174194,0
638,-4.659315475926477,0
639,-4.659315475926477,0
640,-4.659315475926477,0
642,-4.6181736174194,0
643,-4.690171869806784,0
645,-4.7518846575674,0
646,-4.772455586820938,0
647,-4.731313728313862,0
649,-4.7107427990603234,0
650,-4.690171869806784,0
652,-4.7518846575674,0
653,-4.793026516074478,0
655,-4.813597445328016,0
656,-4.823882909954785,0
657,-4.782741051447708,0
659,-4.823882909954785,0
660,-4.906166626968939,0
662,-4.916452091595708,0
663,-4.947308485476016,0
664,-4.957593950102785,0
666,-4.947308485476016,0
