Step (steps),Load (N),Stage
0,-0.04114185850707706,0
0,-0.04114185850707706,0
1,0.07199825238738485,0
3,0.09256918164092338,0
4,0.22628022178892382,0
5,0.4011331204440013,0
7,0.7508389177541563,0
8,1.0696883211840036,0
10,1.2342557552123117,0
11,1.203399361332004,0
13,1.1108301796910807,0
14,0.7816953116344642,0
15,0.5451296252187711,0
17,0.8022662408880026,0
18,1.007975533423388,0
20,0.9256918164092338,0
21,0.8536935640218489,0
22,0.8331226347683104,0
24,0.5451296252187711,0
25,0.5142732313384633,0
27,0.7919807762612333,0
28,0.8536935640218489,0
29,0.6376988068596944,0
31,0.2879930095495394,0
32,0.22628022178892382,0
34,0.42170404969753983,0
35,0.6479842714864636,0
36,0.503987766711694,0
38,0.27770754492277017,0
39,0.1748528986550775,0
41,0.2674220802960009,0
42,0.349705797310155,0
44,0.5657005544723095,0
45,0.48341683745815545,0
46,0.2674220802960009,0
48,0.10285464626769264,0
49,0.32913486805661646,0
51,0.586271483725848,0
52,0.6685552007400022,0
53,0.4319895143243091,0
55,0.19542382790861604,0
56,0.2879930095495394,0
58,0.4628459082046169,0
59,0.6171278776061558,0
60,0.5965569483526173,0
62,0.5245586959652325,0
63,0.27770754492277017,0
65,0.20570929253538528,0
66,0.44227497895107837,0
67,0.7199825238738485,0
69,0.5142732313384633,0
70,0.15428196940153896,0
72,0.08228371701415411,0
73,0.33942033268338573,0
74,0.5245586959652325,0
76,0.5245586959652325,0
77,0.37027672656369354,0
79,0.16456743402830823,0
80,0.09256918164092338,0
82,0.22628022178892382,0
83,0.5348441605920018,0
84,0.6479842714864636,0
86,0.45256044357784764,0
87,0.09256918164092338,0
89,0.21599475716215455,0
90,0.4628459082046169,0
91,0.6685552007400022,0
93,0.4937023020849247,0
94,0.2879930095495394,0
96,0.19542382790861604,0
97,0.3085639388030779,0
98,0.45256044357784764,0
100,0.6171278776061558,0
101,0.42170404969753983,0
103,0.18513836328184677,0
104,0.1748528986550775,0
105,0.349705797310155,0
107,0.586271483725848,0
108,0.5348441605920018,0
110,0.32913486805661646,0
111,0.1439965047747697,0
112,0.2365656864156931,0
114,0.4011331204440013,0
115,0.6685552007400022,0
117,0.6376988068596944,0
118,0.3805621911904628,0
120,0.21599475716215455,0
121,0.3908476558172321,0
122,0.6582697361132329,0
124,0.7816953116344642,0
125,0.6068424129793866,0
127,0.32913486805661646,0
128,0.24685115104246236,0
129,0.45256044357784764,0
131,0.6479842714864636,0
132,0.6891261299935407,0
134,0.5245586959652325,0
135,0.2674220802960009,0
136,0.349705797310155,0
138,0.5142732313384633,0
139,0.8125517055147718,0
141,0.7302679885006178,0
142,0.45256044357784764,0
143,0.27770754492277017,0
145,0.4731313728313862,0
146,0.5657005544723095,0
148,0.7714098470076949,0
149,0.6479842714864636,0
151,0.41141858507077056,0
152,0.33942033268338573,0
153,0.503987766711694,0
155,0.6788406653667715,0
156,0.6891261299935407,0
158,0.4937023020849247,0
159,0.3085639388030779,0
160,0.349705797310155,0
162,0.5348441605920018,0
163,0.7611243823809256,0
165,0.6068424129793866,0
166,0.42170404969753983,0
167,0.27770754492277017,0
169,0.3908476558172321,0
170,0.6068424129793866,0
172,0.8125517055147718,0
173,0.6788406653667715,0
174,0.3908476558172321,0
176,0.3188494034298472,0
177,0.5451296252187711,0
179,0.7611243823809256,0
180,0.8022662408880026,0
181,0.6685552007400022,0
183,0.42170404969753983,0
184,0.3908476558172321,0
186,0.5965569483526173,0
187,0.8536935640218489,0
189,0.8228371701415411,0
190,0.586271483725848,0
191,0.41141858507077056,0
193,0.5554150898455403,0
194,0.7302679885006178,0
196,0.8022662408880026,0
197,0.6582697361132329,0
198,0.4628459082046169,0
200,0.33942033268338573,0
201,0.41141858507077056,0
203,0.6274133422329251,0
204,0.7405534531273871,0
205,0.5348441605920018,0
207,0.29827847417630865,0
208,0.35999126193692427,0
210,0.586271483725848,0
211,0.7714098470076949,0
212,0.7405534531273871,0
214,0.5142732313384633,0
215,0.3188494034298472,0
217,0.45256044357784764,0
218,0.6274133422329251,0
220,0.7714098470076949,0
221,0.6685552007400022,0
222,0.3908476558172321,0
224,0.2674220802960009,0
225,0.44227497895107837,0
227,0.6891261299935407,0
228,0.7919807762612333,0
229,0.5657005544723095,0
231,0.3188494034298472,0
232,0.32913486805661646,0
234,0.5348441605920018,0
235,0.7611243823809256,0
236,0.7096970592470793,0
238,0.48341683745815545,0
239,0.29827847417630865,0
241,0.45256044357784764,0
242,0.6376988068596944,0
243,0.8125517055147718,0
245,0.6788406653667715,0
246,0.4011331204440013,0
248,0.2674220802960009,0
249,0.4319895143243091,0
250,0.6891261299935407,0
252,0.8331226347683104,0
253,0.6376988068596944,0
255,0.3908476558172321,0
256,0.3805621911904628,0
258,0.586271483725848,0
259,0.8331226347683104,0
260,0.8434080993950797,0
262,0.7096970592470793,0
263,0.4937023020849247,0
265,0.5451296252187711,0
266,0.6582697361132329,0
267,0.8845499579021567,0
269,0.7611243823809256,0
270,0.503987766711694,0
272,0.349705797310155,0
273,0.5657005544723095,0
274,0.69941159462031,0
276,0.7611243823809256,0
277,0.5759860190990788,0
279,0.4011331204440013,0
280,0.44227497895107837,0
281,0.586271483725848,0
283,0.8228371701415411,0
284,0.8331226347683104,0
286,0.6685552007400022,0
287,0.4011331204440013,0
288,0.48341683745815545,0
290,0.7508389177541563,0
291,0.9874046041698494,0
293,0.7816953116344642,0
294,0.5348441605920018,0
296,0.42170404969753983,0
297,0.5965569483526173,0
298,0.8228371701415411,0
300,0.9874046041698494,0
301,0.8228371701415411,0
303,0.5348441605920018,0
304,0.42170404969753983,0
305,0.5965569483526173,0
307,0.8742644932753875,0
308,0.894835422528926,0
310,0.6685552007400022,0
311,0.44227497895107837,0
312,0.45256044357784764,0
314,0.6582697361132329,0
315,0.8639790286486182,0
317,0.7816953116344642,0
318,0.5759860190990788,0
319,0.3805621911904628,0
321,0.4628459082046169,0
322,0.586271483725848,0
324,0.8022662408880026,0
325,0.6479842714864636,0
327,0.349705797310155,0
328,0.33942033268338573,0
329,0.5657005544723095,0
331,0.7816953116344642,0
332,0.7919807762612333,0
334,0.586271483725848,0
335,0.35999126193692427,0
336,0.3805621911904628,0
338,0.5965569483526173,0
339,0.8639790286486182,0
341,0.7816953116344642,0
342,0.5554150898455403,0
343,0.37027672656369354,0
345,0.5451296252187711,0
346,0.7508389177541563,0
348,0.9359772810360031,0
349,0.7919807762612333,0
350,0.5245586959652325,0
352,0.37027672656369354,0
353,0.503987766711694,0
355,0.7302679885006178,0
356,0.8022662408880026,0
357,0.6376988068596944,0
359,0.32913486805661646,0
360,0.29827847417630865,0
362,0.5451296252187711,0
363,0.8022662408880026,0
365,0.7199825238738485,0
366,0.503987766711694,0
367,0.3188494034298472,0
369,0.4731313728313862,0
370,0.6479842714864636,0
372,0.7405534531273871,0
373,0.6171278776061558,0
374,0.3805621911904628,0
376,0.3085639388030779,0
377,0.5142732313384633,0
379,0.6891261299935407,0
380,0.7816953116344642,0
381,0.5554150898455403,0
383,0.2674220802960009,0
384,0.21599475716215455,0
386,0.4319895143243091,0
387,0.69941159462031,0
388,0.6376988068596944,0
390,0.41141858507077056,0
391,0.1439965047747697,0
393,0.349705797310155,0
394,0.5554150898455403,0
396,0.7508389177541563,0
397,0.6171278776061558,0
398,0.42170404969753983,0
400,0.3085639388030779,0
401,0.42170404969753983,0
403,0.5965569483526173,0
404,0.6891261299935407,0
405,0.5348441605920018,0
407,0.2571366156692316,0
408,0.2674220802960009,0
410,0.4628459082046169,0
411,0.6685552007400022,0
412,0.5554150898455403,0
414,0.349705797310155,0
415,0.20570929253538528,0
417,0.27770754492277017,0
418,0.41141858507077056,0
419,0.6479842714864636,0
421,0.5657005544723095,0
422,0.2879930095495394,0
424,0.15428196940153896,0
425,0.33942033268338573,0
426,0.5554150898455403,0
428,0.6582697361132329,0
429,0.4628459082046169,0
431,0.2365656864156931,0
432,0.16456743402830823,0
434,0.3188494034298472,0
435,0.5657005544723095,0
436,0.5965569483526173,0
438,0.45256044357784764,0
439,0.21599475716215455,0
441,0.2674220802960009,0
442,0.44227497895107837,0
443,0.6891261299935407,0
445,0.5554150898455403,0
446,0.3085639388030779,0
448,0.16456743402830823,0
449,0.32913486805661646,0
450,0.503987766711694,0
452,0.5965569483526173,0
453,0.42170404969753983,0
455,0.1748528986550775,0
456,0.15428196940153896,0
457,0.37027672656369354,0
459,0.5759860190990788,0
460,0.5657005544723095,0
462,0.3188494034298472,0
463,0.07199825238738485,0
464,0.16456743402830823,0
466,0.4011331204440013,0
467,0.5554150898455403,0
469,0.44227497895107837,0
470,0.22628022178892382,0
472,0.010285464626769264,0
473,0.15428196940153896,0
474,0.32913486805661646,0
476,0.5451296252187711,0
477,0.42170404969753983,0
479,0.20570929253538528,0
480,0.11314011089446191,0
481,0.18513836328184677,0
483,0.4937023020849247,0
484,0.5554150898455403,0
486,0.32913486805661646,0
487,0.13371104014800045,0
488,0.18513836328184677,0
490,0.3805621911904628,0
491,0.5554150898455403,0
493,0.44227497895107837,0
494,0.29827847417630865,0
495,0.11314011089446191,0
497,0.19542382790861604,0
498,0.37027672656369354,0
500,0.5554150898455403,0
501,0.4011331204440013,0
503,0.11314011089446191,0
504,0.02057092925353853,0
505,0.16456743402830823,0
507,0.41141858507077056,0
508,0.44227497895107837,0
510,0.29827847417630865,0
511,0.010285464626769264,0
512,-0.030856393880307795,0
514,0.16456743402830823,0
515,0.45256044357784764,0
517,0.4628459082046169,0
518,0.2674220802960009,0
519,0.12342557552123118,0
521,0.29827847417630865,0
522,0.45256044357784764,0
524,0.586271483725848,0
525,0.4731313728313862,0
526,0.2879930095495394,0
528,0.15428196940153896,0
529,0.2879930095495394,0
531,0.5348441605920018,0
532,0.5451296252187711,0
533,0.3908476558172321,0
535,0.16456743402830823,0
536,0.13371104014800045,0
538,0.3805621911904628,0
539,0.6582697361132329,0
541,0.5657005544723095,0
542,0.37027672656369354,0
543,0.1748528986550775,0
545,0.29827847417630865,0
546,0.48341683745815545,0
548,0.6685552007400022,0
549,0.6068424129793866,0
550,0.35999126193692427,0
552,0.20570929253538528,0
553,0.3908476558172321,0
555,0.6788406653667715,0
556,0.7816953116344642,0
557,0.586271483725848,0
559,0.35999126193692427,0
560,0.3188494034298472,0
562,0.4731313728313862,0
563,0.69941159462031,0
564,0.6274133422329251,0
566,0.44227497895107837,0
567,0.2365656864156931,0
569,0.33942033268338573,0
570,0.4937023020849247,0
572,0.6171278776061558,0
573,0.4937023020849247,0
574,0.3085639388030779,0
576,0.21599475716215455,0
577,0.4011331204440013,0
579,0.6479842714864636,0
580,0.8331226347683104,0
581,0.5965569483526173,0
583,0.349705797310155,0
584,0.3805621911904628,0
586,0.5554150898455403,0
587,0.7816953116344642,0
588,0.7302679885006178,0
590,0.5142732313384633,0
591,0.21599475716215455,0
593,0.33942033268338573,0
594,0.5759860190990788,0
595,0.8125517055147718,0
597,0.7405534531273871,0
598,0.5142732313384633,0
600,0.349705797310155,0
601,0.4628459082046169,0
602,0.6685552007400022,0
604,0.7919807762612333,0
605,0.6068424129793866,0
607,0.33942033268338573,0
608,0.3085639388030779,0
610,0.503987766711694,0
611,0.6891261299935407,0
612,0.69941159462031,0
614,0.5657005544723095,0
615,0.35999126193692427,0
617,0.4628459082046169,0
618,0.6788406653667715,0
619,0.9462627456627724,0
621,0.7714098470076949,0
622,0.4731313728313862,0
624,0.35999126193692427,0
625,0.5245586959652325,0
626,0.7199825238738485,0
628,0.8228371701415411,0
629,0.69941159462031,0
631,0.4319895143243091,0
632,0.349705797310155,0
633,0.503987766711694,0
635,0.7508389177541563,0
636,0.7611243823809256,0
638,0.5657005544723095,0
639,0.3188494034298472,0
640,0.3805621911904628,0
642,0.5245586959652325,0
643,0.7714098470076949,0
645,0.7096970592470793,0
646,0.5142732313384633,0
648,0.33942033268338573,0
649,0.4731313728313862,0
650,0.6788406653667715,0
652,0.7919807762612333,0
653,0.6068424129793866,0
655,0.35999126193692427,0
656,0.32913486805661646,0
657,0.5142732313384633,0
659,0.7405534531273871,0
660,0.7919807762612333,0
662,0.5759860190990788,0
663,0.32913486805661646,0
664,0.33942033268338573,0
666,0.5657005544723095,0
667,0.8536935640218489,0
669,0.7302679885006178,0
670,0.4731313728313862,0
671,0.2879930095495394,0
673,0.41141858507077056,0
674,0.6685552007400022,0
676,0.8331226347683104,0
677,0.7302679885006178,0
