Step (steps),Load (N),Stage
0,-0.4937023020849247,0
0,-0.4937023020849247,0
1,-0.37027672656369354,0
3,-0.3085639388030779,0
4,-0.2571366156692316,0
5,-0.04114185850707706,0
7,0.35999126193692427,0
8,0.9668336749163109,0
10,1.4605359770012356,0
11,1.6456743402830822,0
12,2.0468074607270834,0
14,2.437655116544316,0
15,2.386227793410469,0
17,1.9645237437129295,0
18,1.8513836328184676,0
19,2.2833731471427767,0
21,2.437655116544316,0
22,2.2113748947553917,0
24,2.2216603593821613,0
25,2.057092925353853,0
26,1.985094672966468,0
28,2.1290911777412376,0
29,2.406798722664008,0
31,2.2422312886356996,0
32,1.8719545620720062,0
34,1.6045324817760052,0
35,1.7279580572972364,0
36,1.9645237437129295,0
38,2.1188057131144684,0
39,1.8822400266987753,0
41,1.594247017149236,0
42,1.594247017149236,0
43,1.8822400266987753,0
45,2.1188057131144684,0
46,2.0879493192341605,0
48,1.8925254913255447,0
49,1.6868161987901593,0
50,1.830812703564929,0
52,2.057092925353853,0
53,2.252516753262469,0
55,2.2010894301286226,0
56,1.9645237437129295,0
57,1.7176725926704672,0
59,1.8513836328184676,0
60,2.005665602220007,0
62,2.1496621069947763,0
63,1.9645237437129295,0
64,1.7073871280436979,0
66,1.635388875656313,0
67,1.8205272389381597,0
69,1.9542382790861603,0
70,1.9748092083396989,0
72,1.7588144511775443,0
73,1.4605359770012356,0
74,1.5325342293886204,0
76,1.789670845057852,0
77,2.0879493192341605,0
79,2.0879493192341605,0
80,1.8925254913255447,0
81,1.6662452695366208,0
83,1.7999563096846212,0
84,1.9542382790861603,0
86,2.067378389980622,0
87,1.9028109559523139,0
88,1.6559598049098516,0
90,1.553105158642159,0
91,1.8102417743113906,0
93,2.0468074607270834,0
94,2.0879493192341605,0
95,1.9130964205790832,0
97,1.6456743402830822,0
98,1.6045324817760052,0
100,1.789670845057852,0
101,1.9953801375932374,0
102,1.9542382790861603,0
104,1.748528986550775,0
105,1.4913923708815433,0
107,1.6868161987901593,0
108,1.8822400266987753,0
110,1.9748092083396989,0
111,1.830812703564929,0
112,1.553105158642159,0
114,1.4296795831209277,0
115,1.6148179464027745,0
117,1.830812703564929,0
118,1.9953801375932374,0
119,1.8102417743113906,0
121,1.5736760878956975,0
122,1.5633906232689283,0
124,1.7690999158043135,0
125,2.015951066846776,0
126,1.9953801375932374,0
128,1.7690999158043135,0
129,1.5016778355083127,0
131,1.6148179464027745,0
132,1.7793853804310829,0
133,1.9130964205790832,0
135,1.7176725926704672,0
136,1.4913923708815433,0
138,1.3473958661067735,0
139,1.5839615525224666,0
140,1.7999563096846212,0
142,1.8513836328184676,0
143,1.6765307341633902,0
145,1.367966795360312,0
146,1.3165394722264658,0
148,1.5325342293886204,0
149,1.748528986550775,0
150,1.7690999158043135,0
152,1.6045324817760052,0
153,1.3062540075996967,0
155,1.3782522599870815,0
156,1.553105158642159,0
157,1.6456743402830822,0
159,1.5119633001350818,0
160,1.2753976137193888,0
162,1.2136848259587731,0
163,1.3885377246138506,0
164,1.553105158642159,0
166,1.7382435219240058,0
167,1.553105158642159,0
169,1.2548266844658502,0
170,1.2342557552123117,0
171,1.5016778355083127,0
173,1.748528986550775,0
174,1.7279580572972364,0
176,1.5325342293886204,0
177,1.3062540075996967,0
179,1.4193941184941585,0
180,1.5428196940153898,0
181,1.7279580572972364,0
183,1.6559598049098516,0
184,1.4708214416280048,0
186,1.3062540075996967,0
187,1.4913923708815433,0
188,1.7999563096846212,0
190,1.9233818852058524,0
191,1.6868161987901593,0
193,1.4502505123744662,0
194,1.439965047747697,0
195,1.6148179464027745,0
197,1.7793853804310829,0
198,1.7999563096846212,0
200,1.6456743402830822,0
201,1.3062540075996967,0
202,1.3782522599870815,0
204,1.6148179464027745,0
205,1.8719545620720062,0
207,1.830812703564929,0
208,1.6456743402830822,0
209,1.4502505123744662,0
211,1.6148179464027745,0
212,1.830812703564929,0
214,1.9542382790861603,0
215,1.8102417743113906,0
217,1.5736760878956975,0
218,1.4708214416280048,0
219,1.2136848259587731,0
221,0.4937023020849247,0
222,0.19542382790861604,0
224,0.29827847417630865,0
225,0.33942033268338573,0
226,0.6274133422329251,0
228,0.2879930095495394,0
229,-0.20570929253538528,0
231,-0.1748528986550775,0
232,0.04114185850707706,0
233,0.20570929253538528,0
235,0.5965569483526173,0
236,1.0285464626769265,0
238,1.357681330733543,0
239,1.3885377246138506,0
240,1.2651121490926196,0
242,1.244541219839081,0
243,1.5119633001350818,0
245,1.789670845057852,0
246,1.9130964205790832,0
247,1.7588144511775443,0
249,1.4811069062547741,0
250,1.5736760878956975,0
252,1.8410981681916982,0
253,2.067378389980622,0
255,1.985094672966468,0
256,1.830812703564929,0
257,1.6148179464027745,0
259,1.7690999158043135,0
260,1.9542382790861603,0
262,2.09823478386093,0
263,1.8822400266987753,0
264,1.5839615525224666,0
