Step (steps),Load (N),Stage
0,-0.15496067934782606,0
1,-0.15496067934782606,0
2,-0.08522837364130434,0
3,-0.007748033967391303,0
5,0.15496067934782606,0
6,0.4803781059782608,0
8,0.6663309211956521,0
9,0.6740789551630434,0
10,0.7748033967391303,0
12,1.1079688573369564,0
13,1.5108666236413042,0
15,1.7510556766304346,0
16,1.5728508953804345,0
17,1.4721264538043477,0
19,1.6968194388586955,0
20,1.7588037105978258,0
22,1.634835167119565,0
23,1.8362840502717388,0
24,1.9137643899456518,0
26,1.8440320842391302,0
27,1.6968194388586955,0
29,1.813039948369565,0
30,2.115213273097826,0
31,2.4483787336956517,0
33,2.3631503600543473,0
34,2.3399062581521735,0
36,2.4096385638586955,0
37,2.5723472771739124,0
38,2.882268635869565,0
40,2.990741111413043,0
41,2.781544194293478,0
43,2.8900166698369563,0
44,3.1766939266304344,0
46,3.3316546059782604,0
47,3.602835794836956,0
48,3.5563475910326083,0
50,3.4633711834239125,0
51,3.5408515230978255,0
53,3.757796474184782,0
54,4.005733561141303,0
55,4.261418682065217,0
57,4.114206036684782,0
58,4.168442274456521,0
60,4.269166716032608,0
61,4.416379361413043,0
62,4.687560550271739,0
64,4.819277127717391,0
65,4.672064482336956,0
67,4.772788923913042,0
68,4.858017297554347,0
69,5.059466180706521,0
71,5.3383954035326076,0
72,5.322899335597826,0
74,5.245418995923912,0
75,5.322899335597826,0
76,5.377135573369564,0
78,5.617324626358695,0
79,5.9349940190217385,0
81,5.857513679347825,0
82,5.865261713315216,0
83,5.958238120923912,0
85,6.0899546983695645,0
86,6.407624091032607,0
88,6.640065110054347,0
89,6.446364260869564,0
90,6.516096566576086,0
92,6.585828872282607,0
93,6.802773823369564,0
95,7.190175521739129,0
96,7.360632269021738,0
98,7.190175521739129,0
99,7.2986479972826075,0
100,7.383876370923912,0
102,7.577577220108695,0
103,7.91074268070652,0
105,7.794522171195651,0
106,7.693797729619564,0
107,7.786774137228259,0
109,7.895246612771738,0
110,8.135435665760868,0
110,8.259404209239129,1
110,8.166427801630434,2
112,8.119939597826086,2
113,8.104443529891302,2
114,8.189671903532608,2
116,8.422112922554346,2
117,8.67779804347826,2
119,8.608065737771737,2
120,8.600317703804347,2
121,8.708790179347824,2
123,8.863750858695651,2
124,8.964475300271738,2
126,9.142680081521737,2
127,9.607562119565216,2
128,9.708286561141303,2
130,9.437105372282607,2
131,9.39061716847826,2
133,9.669546391304346,2
134,9.948475614130434,2
135,10.080192191576085,2
136,9.948475614130434,3
136,9.956223648097824,4
135,9.878743308423912,4
134,9.74702673097826,4
132,9.901987410326086,4
131,9.956223648097824,4
130,9.971719716032608,4
128,9.971719716032608,4
127,9.778018866847825,4
125,9.584318017663042,4
124,9.328632896739128,4
123,9.111687945652173,4
121,8.80176658695652,4
120,8.68554607744565,4
118,8.654553941576086,4
117,8.530585398097825,4
116,8.631309839673913,4
114,8.491845228260868,4
113,8.352380616847825,4
111,8.414364888586956,4
110,8.406616854619564,4
108,8.406616854619564,4
107,8.414364888586956,4
106,8.352380616847825,4
104,8.065703360054346,4
103,7.562081152173912,4
101,7.228915691576086,4
100,7.4536086766304335,4
99,7.779026103260868,4
97,7.616317389945651,4
96,7.352884235054347,4
94,7.112695182065217,4
93,7.035214842391303,4
92,7.236663725543477,4
90,7.25215979347826,4
89,6.918994332880434,4
87,6.717545449728259,4
86,6.547088702445651,4
85,6.65556117798913,4
83,6.740789551630434,4
82,6.624569042119564,4
80,6.337891785326086,4
79,6.144190936141303,4
78,6.144190936141303,4
76,6.268159479619564,4
75,6.198427173913043,4
73,5.904001883152173,4
72,5.76453727173913,4
71,5.71030103396739,4
69,5.718049067934782,4
68,5.749041203804347,4
66,5.4933560828804335,4
65,5.268663097826086,4
64,5.206678826086955,4
62,5.183434724184782,4
61,5.284159165760869,4
59,5.299655233695652,4
58,5.098206350543477,4
56,4.8967574673913035,4
55,4.811529093749999,4
54,4.672064482336956,4
52,4.679812516304347,4
51,4.571340040760869,4
49,4.33889902173913,4
48,4.261418682065217,4
47,4.214930478260869,4
45,4.160694240489129,4
44,4.214930478260869,4
42,3.9747414252717386,4
41,3.7965366440217387,4
40,3.703560236413043,4
38,3.6183318627717385,4
37,3.5176074211956516,4
35,3.44787511548913,4
34,3.2154340964673906,4
33,3.0449773491847822,4
31,2.9752450434782602,4
30,2.781544194293478,4
28,2.7970402622282604,4
27,2.8202843641304343,4
26,2.711811888586956,4
24,2.6188354809782606,4
23,2.4638748016304346,4
21,2.270173952445652,4
20,2.347654292119565,4
19,2.3166621562499996,4
17,2.1617014769021736,4
16,2.02223686548913,4
14,1.8207879823369562,4
13,1.8285360163043476,4
12,1.9602525937499997,4
10,1.7278115747282605,4
9,1.4721264538043477,4
7,1.355905944293478,4
6,1.278425604619565,4
5,1.3171657744565215,4
3,1.2706775706521738,4
2,0.9917483478260868,4
0,0.9220160421195651,4
0,0.9375121100543476,5
